Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2013",4.3,0
"Feb-2013",6.1,13.81
"Mar-2013",21.1,48.99
"Apr-2013",93.2,40.03
"May-2013",148.3,88.03
"Jun-2013",408.4,420.43
"Jul-2013",720.3,645.88
"Aug-2013",414.9,267
"Sep-2013",172.4,171.89
"Oct-2013",175.5,129.16
"Nov-2013",67.6,37.78
"Dec-2013",17.1,4.28
"Jan-2014",4.3,1.37
"Feb-2014",6.1,0.74
"Mar-2014",21.1,9.78
"Apr-2014",93.2,71.17
"May-2014",148.3,178.95
"Jun-2014",408.4,183.02
"Jul-2014",720.3,522.06
"Aug-2014",414.9,363.09
"Sep-2014",172.4,252.82
"Oct-2014",175.5,119.78
"Nov-2014",67.6,12.42
"Dec-2014",17.1,27.47
"Jan-2015",4.3,1.26
"Feb-2015",6.1,2.17
"Mar-2015",21.1,30.1
"Apr-2015",93.2,126.46
"May-2015",148.3,167.3
"Jun-2015",408.4,538.72
"Jul-2015",720.3,215.67
"Aug-2015",414.9,200.33
"Sep-2015",172.4,193.72
"Oct-2015",175.5,102.01
"Nov-2015",67.6,104.4
"Dec-2015",17.1,6.07
"Jan-2016",4.3,0.58
"Feb-2016",6.1,2.69
"Mar-2016",21.1,8.71
"Apr-2016",93.2,22.03
"May-2016",148.3,118.46
"Jun-2016",408.4,349.99
"Jul-2016",720.3,321.64
"Aug-2016",414.9,173.6
"Sep-2016",172.4,83.88
"Oct-2016",175.5,32.28
"Nov-2016",67.6,19.76
"Dec-2016",17.1,44.86
"Jan-2017",4.3,31.65
"Feb-2017",6.1,0
"Mar-2017",21.1,16.22
"Apr-2017",93.2,106.2
"May-2017",148.3,134.44
"Jun-2017",408.4,228.47
"Jul-2017",720.3,254.27
"Aug-2017",414.9,303.44
"Sep-2017",172.4,253.04
"Oct-2017",175.5,78.77
"Nov-2017",67.6,13.65
"Dec-2017",17.1,1.13
"Jan-2018",4.3,0
"Feb-2018",6.1,5.8
"Mar-2018",21.1,50.2
"Apr-2018",93.2,91.98
"May-2018",148.3,317.31
"Jun-2018",408.4,438.65
"Jul-2018",720.3,714.81
"Aug-2018",414.9,699.77
"Sep-2018",172.4,122.14
"Oct-2018",175.5,157.26
"Nov-2018",67.6,14.38
"Dec-2018",17.1,8.54
"Jan-2019",4.3,0
"Feb-2019",6.1,7.25
"Mar-2019",21.1,17.92
"Apr-2019",93.2,93.78
"May-2019",148.3,126.79
"Jun-2019",408.4,197.29
"Jul-2019",720.3,341.68
"Aug-2019",414.9,801.89
"Sep-2019",172.4,313.01
"Oct-2019",175.5,268.18
"Nov-2019",67.6,58.42
"Dec-2019",17.1,31.74
"Jan-2020",4.3,0.04
"Feb-2020",6.1,0.93
"Mar-2020",21.1,17.92
"Apr-2020",93.2,78.43
"May-2020",148.3,158.67
"Jun-2020",408.4,262.31
"Jul-2020",720.3,181.27
"Aug-2020",414.9,584.15
"Sep-2020",172.4,361.34
"Oct-2020",175.5,148.63
"Nov-2020",67.6,29.1
"Dec-2020",17.1,13.66
"Jan-2021",0,38.14
"Feb-2021",0,24.35
"Mar-2021",0,8.75
"Apr-2021",0,107.49
"May-2021",0,154.27
